index,prediction,actual,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,sponsor_termination,renovations,nontrigger
45,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
938,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1534,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
305,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
572,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1339,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sum,13.0,0.0,4,0,0,0,0,0,0,0,2,0,0,1,0,6
