,Document,Sentence,loan_default,aggregate_dscr_fall,dscr_fall,unspecified,debt_yield_fall,aggregate_debt_yield_fall,mezzanine_default,tenant_failure,mezzanine_outstanding,operator_termination,bankruptcy,aggregate_debt_yield,sponsor_termination,renovations,sentence_char_count,SentenceTokens,SentenceLemmas,SentenceLemmas_nopunc
0,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"On each Business Day, the financial institution maintaining the blocked account (which was U.S. Bank National Association as of the Origination Date) is required to remit all funds on deposit in the blocked account (a) if no Trigger Period or event of default under the Mortgage Loan is continuing, to the Borrower and (b) during a Trigger Period or while an event of default under the Mortgage Loan is continuing, to the Cash Management Account.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,446,"On each Business Day , the financial institution maintaining the blocked account ( which was U.S. Bank National Association as of the Origination Date ) is required to remit all funds on deposit in the blocked account ( a ) if no Trigger Period or event of default under the Mortgage Loan is continuing , to the Borrower and ( b ) during a Trigger Period or while an event of default under the Mortgage Loan is continuing , to the Cash Management Account .","on each business day , the financial institution maintain the block account ( which be u.s. bank national association as of the origination date ) be require to remit all fund on deposit in the block account ( a ) if no trigger period or event of default under the mortgage loan be continue , to the borrower and ( b ) during a trigger period or while an event of default under the mortgage loan be continue , to the cash management account .",on each business day the financial institution maintain the block account which be u s bank national association as of the origination date be require to remit all fund on deposit in the block account a if no trigger period or event of default under the mortgage loan be continue to the borrower and b during a trigger period or while an event of default under the mortgage loan be continue to the cash management account 
1,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"The Borrower has established and is required to maintain a cash management account (the “Cash Management Account”) at the Cash Management Bank into which income from the Property (other than certain de minimis non-core and sponsorship income) is required to be deposited during any period that the aggregate debt service coverage ratio (based on net operating income, as calculated under the Loan Documents) for the trailing 12-month period as of the most recent fiscal quarter and annualized debt service (including any scheduled amortization), falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio exceeds 1.30x as of the end of the trailing 12-month period for two consecutive fiscal quarters (such period a “Trigger Period”), or while an event of default under the Mortgage Loan is continuing.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,836,"The Borrower has established and is required to maintain a cash management account ( the “ Cash Management Account ” ) at the Cash Management Bank into which income from the Property ( other than certain de minimis non - core and sponsorship income ) is required to be deposited during any period that the aggregate debt service coverage ratio ( based on net operating income , as calculated under the Loan Documents ) for the trailing 12-month period as of the most recent fiscal quarter and annualized debt service ( including any scheduled amortization ) , falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio exceeds 1.30x as of the end of the trailing 12-month period for two consecutive fiscal quarters ( such period a “ Trigger Period ” ) , or while an event of default under the Mortgage Loan is continuing .","the borrower have establish and be require to maintain a cash management account ( the "" cash management account "" ) at the cash management bank into which income from the property ( other than certain de minimis non - core and sponsorship income ) be require to be deposit during any period that the aggregate debt service coverage ratio ( base on net operating income , as calculate under the loan documents ) for the trail 12-month period as of the most recent fiscal quarter and annualiz debt service ( include any schedule amortization ) , fall below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio exceed 1.30x as of the end of the trail 12-month period for two consecutive fiscal quarter ( such period a "" trigger period "" ) , or while an event of default under the mortgage loan be continue .",the borrower have establish and be require to maintain a cash management account the cash management account at the cash management bank into which income from the property other than certain de minimis non core and sponsorship income be require to be deposit during any period that the aggregate debt service coverage ratio base on net operating income as calculate under the loan documents for the trail 12 month period as of the most recent fiscal quarter and annualiz debt service include any schedule amortization fall below 1 30x as of the end of any fiscal quarter until such debt service coverage ratio exceed 1 30x as of the end of the trail 12 month period for two consecutive fiscal quarter such period a trigger period or while an event of default under the mortgage loan be continue 
2,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"During a Trigger Period or while an event of default under the Mortgage Loan is continuing, all amounts available in the Cash Management Account will be applied on each Loan Payment Date in the following order of priority: (i) to the Tax and Insurance Reserve Account, (a) 1/12th of projected annual taxes and (b) 1/12th of projected annual insurance premiums (unless certain blanket policies are in effect), (ii) to the lender, the amount of all scheduled or delinquent interest and principal on the Mortgage Loan and all other amounts then due and payable under the Loan Documents (with amounts in respect of principal paid last), (iii) provided there has been no enforcement action, after the occurrence and during the continuance of an event of default under the Mortgage Loan, to operating accounts, an amount equal to the budgeted operating expenses for the month in which such Loan Payment Date occurs (as described in “Description of the Mortgage Loan—Cash Management”); (iv) to the Capital Expenditure Reserve Account,􀀃an amount equal to the lesser of (a) $9,018 (which is $0.15 per owned rentable square foot per annum) or (b) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal $108,216 (which is 12 times the monthly required amount set forth in clause (a)), (v) to the TI/LC Reserve Account an amount equal to the lesser of (a) $60,120 (which is $1.00 per owned rentable square foot per annum) or (b) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal $721,438 (which is 12 times the monthly required amount set forth in clause (a)), and (vi) unless an event of default under the Loan Documents is continuing, all remaining amounts to the Borrower.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1772,"During a Trigger Period or while an event of default under the Mortgage Loan is continuing , all amounts available in the Cash Management Account will be applied on each Loan Payment Date in the following order of priority : ( i ) to the Tax and Insurance Reserve Account , ( a ) 1/12th of projected annual taxes and ( b ) 1/12th of projected annual insurance premiums ( unless certain blanket policies are in effect ) , ( ii ) to the lender , the amount of all scheduled or delinquent interest and principal on the Mortgage Loan and all other amounts then due and payable under the Loan Documents ( with amounts in respect of principal paid last ) , ( iii ) provided there has been no enforcement action , after the occurrence and during the continuance of an event of default under the Mortgage Loan , to operating accounts , an amount equal to the budgeted operating expenses for the month in which such Loan Payment Date occurs ( as described in “ Description of the Mortgage Loan — Cash Management ” ) ; ( iv ) to the Capital Expenditure Reserve Account,􀀃an amount equal to the lesser of ( a ) $ 9,018 ( which is $ 0.15 per owned rentable square foot per annum ) or ( b ) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal $ 108,216 ( which is 12 times the monthly required amount set forth in clause ( a ) ) , ( v ) to the TI / LC Reserve Account an amount equal to the lesser of ( a ) $ 60,120 ( which is $ 1.00 per owned rentable square foot per annum ) or ( b ) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal $ 721,438 ( which is 12 times the monthly required amount set forth in clause ( a ) ) , and ( vi ) unless an event of default under the Loan Documents is continuing , all remaining amounts to the Borrower .","during a trigger period or while an event of default under the mortgage loan be continue , all amount available in the cash management account will be apply on each loan payment date in the follow order of priority : ( i ) to the tax and insurance reserve account , ( a ) 1/12th of project annual tax and ( b ) 1/12th of project annual insurance premium ( unless certain blanket policy be in effect ) , ( ii ) to the lender , the amount of all schedule or delinquent interest and principal on the mortgage loan and all other amount then due and payable under the loan documents ( with amount in respect of principal pay last ) , ( iii ) provide there have be no enforcement action , after the occurrence and during the continuance of an event of default under the mortgage loan , to operating account , an amount equal to the budget operating expense for the month in which such loan payment date occur ( as describe in "" description of the mortgage loan — cash management "" ) ; ( iv ) to the capital expenditure reserve account,􀀃an amount equal to the less of ( a ) $ 9,018 ( which be $ 0.15 per own rentable square foot per annum ) or ( b ) the amount that would because the total amount contain in the capital expenditure reserve account to equal $ 108,216 ( which be 12 time the monthly require amount set forth in clause ( a ) ) , ( v ) to the ti / lc reserve account an amount equal to the less of ( a ) $ 60,120 ( which be $ 1.00 per own rentable square foot per annum ) or ( b ) the amount that would because the total amount contain in the capital expenditure reserve account to equal $ 721,438 ( which be 12 time the monthly require amount set forth in clause ( a ) ) , and ( vi ) unless an event of default under the loan documents be continue , all remain amount to the borrower .",during a trigger period or while an event of default under the mortgage loan be continue all amount available in the cash management account will be apply on each loan payment date in the follow order of priority i to the tax and insurance reserve account a 1 12th of project annual tax and b 1 12th of project annual insurance premium unless certain blanket policy be in effect ii to the lender the amount of all schedule or delinquent interest and principal on the mortgage loan and all other amount then due and payable under the loan documents with amount in respect of principal pay last iii provide there have be no enforcement action after the occurrence and during the continuance of an event of default under the mortgage loan to operating account an amount equal to the budget operating expense for the month in which such loan payment date occur as describe in description of the mortgage loan cash management iv to the capital expenditure reserve account an amount equal to the less of a 9 018 which be 0 15 per own rentable square foot per annum or b the amount that would because the total amount contain in the capital expenditure reserve account to equal 108 216 which be 12 time the monthly require amount set forth in clause a v to the ti lc reserve account an amount equal to the less of a 60 120 which be 1 00 per own rentable square foot per annum or b the amount that would because the total amount contain in the capital expenditure reserve account to equal 721 438 which be 12 time the monthly require amount set forth in clause a and vi unless an event of default under the loan documents be continue all remain amount to the borrower 
3,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,On any Business Day all amounts on deposit in the Cash Management Account in excess of the amount of required reserves and all other amounts due and payable on the next Loan Payment Date will be released to the Borrower unless an event of default under the Mortgage Loan has occurred and is continuing.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302,On any Business Day all amounts on deposit in the Cash Management Account in excess of the amount of required reserves and all other amounts due and payable on the next Loan Payment Date will be released to the Borrower unless an event of default under the Mortgage Loan has occurred and is continuing .,on any business day all amount on deposit in the cash management account in excess of the amount of required reserve and all other amount due and payable on the next loan payment date will be release to the borrower unless an event of default under the mortgage loan have occur and be continue .,on any business day all amount on deposit in the cash management account in excess of the amount of required reserve and all other amount due and payable on the next loan payment date will be release to the borrower unless an event of default under the mortgage loan have occur and be continue 
4,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"Available funds in each Cash Management Account are required to be swept into either the Operating Accounts, or upon the commencement of a Trigger Period or Event of Default, the Cash Management Account at the end of each Business Day.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,235,"Available funds in each Cash Management Account are required to be swept into either the Operating Accounts , or upon the commencement of a Trigger Period or Event of Default , the Cash Management Account at the end of each Business Day .","available fund in each cash management account be require to be sweep into either the operating accounts , or upon the commencement of a trigger period or event of default , the cash management account at the end of each business day .",available fund in each cash management account be require to be sweep into either the operating accounts or upon the commencement of a trigger period or event of default the cash management account at the end of each business day 
5,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"So long as no Trigger Period or Event of Default is continuing, at the end of each Business Day, all amounts contained in the Lockbox Account will be required to be disbursed to the Borrower’s designated operating account or as Borrower otherwise directs.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,255,"So long as no Trigger Period or Event of Default is continuing , at the end of each Business Day , all amounts contained in the Lockbox Account will be required to be disbursed to the Borrower ’s designated operating account or as Borrower otherwise directs .","so long as no trigger period or event of default be continue , at the end of each business day , all amount contain in the lockbox account will be require to be disburse to the borrower ’s designate operating account or as borrower otherwise direct .",so long as no trigger period or event of default be continue at the end of each business day all amount contain in the lockbox account will be require to be disburse to the borrower s designate operating account or as borrower otherwise direct 
6,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"During the continuance of a Trigger Period or Event of Default, at the end of each Business Day, all amounts contained in the Lockbox Account will be required to be transferred to the Cash Management Account.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,208,"During the continuance of a Trigger Period or Event of Default , at the end of each Business Day , all amounts contained in the Lockbox Account will be required to be transferred to the Cash Management Account .","during the continuance of a trigger period or event of default , at the end of each business day , all amount contain in the lockbox account will be require to be transfer to the cash management account .",during the continuance of a trigger period or event of default at the end of each business day all amount contain in the lockbox account will be require to be transfer to the cash management account 
7,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"“Trigger Period” means any period that the debt service coverage ratio (based on net operating income for the trailing 12-month period (less tenant improvement and leasing commission expenditures equal to $1.00 per square foot per annum and capital improvements equal to $0.20 per square foot per annum) and debt service on the Mortgage Loan), falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio is at least 1.30x as of the end of a subsequent fiscal quarter.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,500,"“ Trigger Period ” means any period that the debt service coverage ratio ( based on net operating income for the trailing 12-month period ( less tenant improvement and leasing commission expenditures equal to $ 1.00 per square foot per annum and capital improvements equal to $ 0.20 per square foot per annum ) and debt service on the Mortgage Loan ) , falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio is at least 1.30x as of the end of a subsequent fiscal quarter .",""" trigger period "" mean any period that the debt service coverage ratio ( base on net operating income for the trail 12-month period ( less tenant improvement and leasing commission expenditure equal to $ 1.00 per square foot per annum and capital improvement equal to $ 0.20 per square foot per annum ) and debt service on the mortgage loan ) , fall below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio be at least 1.30x as of the end of a subsequent fiscal quarter .", trigger period mean any period that the debt service coverage ratio base on net operating income for the trail 12 month period less tenant improvement and leasing commission expenditure equal to 1 00 per square foot per annum and capital improvement equal to 0 20 per square foot per annum and debt service on the mortgage loan fall below 1 30x as of the end of any fiscal quarter until such debt service coverage ratio be at least 1 30x as of the end of a subsequent fiscal quarter 
8,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"During the continuance of a Trigger Period, the Cash Management Bank will remit to the Borrower, at the end of each Business Day (or, at the election of the Borrower, on a less frequent basis), the amount, if any, by which amounts then contained in the Cash Management Account exceed the aggregate amount required to be paid to or reserved with the lender on the next Loan Payment Date pursuant to the Mortgage Loan Agreement (the “Minimum Balance”); provided, however, that the lender will terminate such remittances during the continuance of an Event of Default upon notice to the Cash Management Bank with a copy to the Borrower.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,632,"During the continuance of a Trigger Period , the Cash Management Bank will remit to the Borrower , at the end of each Business Day ( or , at the election of the Borrower , on a less frequent basis ) , the amount , if any , by which amounts then contained in the Cash Management Account exceed the aggregate amount required to be paid to or reserved with the lender on the next Loan Payment Date pursuant to the Mortgage Loan Agreement ( the “ Minimum Balance ” ) ; provided , however , that the lender will terminate such remittances during the continuance of an Event of Default upon notice to the Cash Management Bank with a copy to the Borrower .","during the continuance of a trigger period , the cash management bank will remit to the borrower , at the end of each business day ( or , at the election of the borrower , on a less frequent basis ) , the amount , if any , by which amount then contain in the cash management account exceed the aggregate amount require to be pay to or reserve with the lender on the next loan payment date pursuant to the mortgage loan agreement ( the "" minimum balance "" ) ; provide , however , that the lender will terminate such remittance during the continuance of an event of default upon notice to the cash management bank with a copy to the borrower .",during the continuance of a trigger period the cash management bank will remit to the borrower at the end of each business day or at the election of the borrower on a less frequent basis the amount if any by which amount then contain in the cash management account exceed the aggregate amount require to be pay to or reserve with the lender on the next loan payment date pursuant to the mortgage loan agreement the minimum balance provide however that the lender will terminate such remittance during the continuance of an event of default upon notice to the cash management bank with a copy to the borrower 
9,20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"On each Loan Payment Date, during the continuance of a Trigger Period or an Event of Default, the lender is required to transfer amounts from the Cash Management Account, to the extent available, to make the following payments in the following order of priority: (i) to a designated reserve account (the “Tax and Insurance Reserve Account” ), an amount equal to the sum of (a) 1/12th of projected annual real estate taxes, and (b) 1/12th of projected annual insurance premiums (the foregoing insurance reserve requirement is waived so long as insurance is maintained under a blanket policy) for the purpose of reserving amounts in respect of taxes and insurance premiums during the continuance of a Trigger Period or an Event of Default; (ii) to the lender, the amount of all scheduled or delinquent interest and principal on the Mortgage Loan and all other amounts then due and payable under the Loan Documents (with amounts in respect of principal paid last); (iii) provided no Enforcement Action has occurred and is continuing, after the occurrence and during the continuance of an Event of Default, to Operating Accounts, an amount equal to the Budgeted Operating Expenses for the month in which such Loan Payment Date occurs, provided that (A) the amounts disbursed to such account pursuant to this clause (iii) will be used by Borrower solely to pay Budgeted Operating Expenses for such month, (B) no amounts will be disbursed to Borrower in respect of the fees of any manager of the Property to the extent such fees exceed 2% of the gross income from operations at the Property, (C)(1) no remittances will be made to pay any affiliate of the Borrower or the Sponsor pursuant to any contract or agreement from and after such time as the lender requests that the same be terminated (excluding (a) amounts accrued prior to such termination notice and (b) reimbursements for amounts appropriately paid by such affiliate to non-affiliates), (2) the lender may elect, in its sole discretion, to make direct remittances to parties that are owed amounts in accordance with the approved annual budget rather than remitting such amounts to Operating Accounts (which may include the Borrower if the Borrower is then self-managing the Property and the lender has not elected to terminate the Borrower in such role) and (3) to the extent that the lender elects to remit amounts to the Operating Accounts, the remittance will be conditioned on the lender’s receipt of a monthly certification confirming that all amounts previously remitted into the Operating Accounts during the continuance of such Event of Default either remain in the Operating Accounts or have been applied toward specified Budgeted Operating Expenses, and (D) during the continuance of an Event of Default, the lender receives a perfected, first-priority security interest in the Operating Account into which such amounts will be funded; (iv) to a designated reserve account (the “Capital Expenditure Reserve Account” ), an amount equal to an amount equal to the lesser of (i) 1/12th of $0.15 per leasable square foot at the Property (i.e., $9,018) or (ii) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal 12 times the monthly required amount (i.e., $108,216) for the purpose of reserving amounts in respect of capital expenditures during the continuance of a Trigger Period or an Event of Default; (v) to a designated reserve account (the “TI/LC Reserve Account” ), an amount equal to an amount equal to the lesser of (i) 1/12th of $1.00 per leasable square foot at the Property (i.e., $60,120) or (ii) the amount that would cause the total amount contained in the TI/LC Reserve Account to equal 12 times the monthly required amount (i.e., $721,438) for the purpose of reserving amounts in respect of tenant improvements and leasing commissions during the continuance of a Trigger Period or an Event of Default; (vi) to the lender, the amount of any other amounts then due and payable to the lender under the Loan Documents; (vii) during the continuance of an Event of Default, all remaining amounts shall be retained by the lender to be to be held as additional collateral for the Mortgage Loan and, upon acceleration of the Mortgage Loan, such amounts may be applied in its discretion; and (viii) if no Event of Default is continuing, all remaining amounts to an account specified by the Borrower.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4422,"On each Loan Payment Date , during the continuance of a Trigger Period or an Event of Default , the lender is required to transfer amounts from the Cash Management Account , to the extent available , to make the following payments in the following order of priority : ( i ) to a designated reserve account ( the “ Tax and Insurance Reserve Account ” ) , an amount equal to the sum of ( a ) 1/12th of projected annual real estate taxes , and ( b ) 1/12th of projected annual insurance premiums ( the foregoing insurance reserve requirement is waived so long as insurance is maintained under a blanket policy ) for the purpose of reserving amounts in respect of taxes and insurance premiums during the continuance of a Trigger Period or an Event of Default ; ( ii ) to the lender , the amount of all scheduled or delinquent interest and principal on the Mortgage Loan and all other amounts then due and payable under the Loan Documents ( with amounts in respect of principal paid last ) ; ( iii ) provided no Enforcement Action has occurred and is continuing , after the occurrence and during the continuance of an Event of Default , to Operating Accounts , an amount equal to the Budgeted Operating Expenses for the month in which such Loan Payment Date occurs , provided that ( A ) the amounts disbursed to such account pursuant to this clause ( iii ) will be used by Borrower solely to pay Budgeted Operating Expenses for such month , ( B ) no amounts will be disbursed to Borrower in respect of the fees of any manager of the Property to the extent such fees exceed 2 % of the gross income from operations at the Property , ( C)(1 ) no remittances will be made to pay any affiliate of the Borrower or the Sponsor pursuant to any contract or agreement from and after such time as the lender requests that the same be terminated ( excluding ( a ) amounts accrued prior to such termination notice and ( b ) reimbursements for amounts appropriately paid by such affiliate to non - affiliates ) , ( 2 ) the lender may elect , in its sole discretion , to make direct remittances to parties that are owed amounts in accordance with the approved annual budget rather than remitting such amounts to Operating Accounts ( which may include the Borrower if the Borrower is then self - managing the Property and the lender has not elected to terminate the Borrower in such role ) and ( 3 ) to the extent that the lender elects to remit amounts to the Operating Accounts , the remittance will be conditioned on the lender ’s receipt of a monthly certification confirming that all amounts previously remitted into the Operating Accounts during the continuance of such Event of Default either remain in the Operating Accounts or have been applied toward specified Budgeted Operating Expenses , and ( D ) during the continuance of an Event of Default , the lender receives a perfected , first - priority security interest in the Operating Account into which such amounts will be funded ; ( iv ) to a designated reserve account ( the “ Capital Expenditure Reserve Account ” ) , an amount equal to an amount equal to the lesser of ( i ) 1/12th of $ 0.15 per leasable square foot at the Property ( i.e. , $ 9,018 ) or ( ii ) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal 12 times the monthly required amount ( i.e. , $ 108,216 ) for the purpose of reserving amounts in respect of capital expenditures during the continuance of a Trigger Period or an Event of Default ; ( v ) to a designated reserve account ( the “ TI / LC Reserve Account ” ) , an amount equal to an amount equal to the lesser of ( i ) 1/12th of $ 1.00 per leasable square foot at the Property ( i.e. , $ 60,120 ) or ( ii ) the amount that would cause the total amount contained in the TI / LC Reserve Account to equal 12 times the monthly required amount ( i.e. , $ 721,438 ) for the purpose of reserving amounts in respect of tenant improvements and leasing commissions during the continuance of a Trigger Period or an Event of Default ; ( vi ) to the lender , the amount of any other amounts then due and payable to the lender under the Loan Documents ; ( vii ) during the continuance of an Event of Default , all remaining amounts shall be retained by the lender to be to be held as additional collateral for the Mortgage Loan and , upon acceleration of the Mortgage Loan , such amounts may be applied in its discretion ; and ( viii ) if no Event of Default is continuing , all remaining amounts to an account specified by the Borrower .","on each loan payment date , during the continuance of a trigger period or an event of default , the lender be require to transfer amount from the cash management account , to the extent available , to make the follow payment in the follow order of priority : ( i ) to a designate reserve account ( the "" tax and insurance reserve account "" ) , an amount equal to the sum of ( a ) 1/12th of project annual real estate tax , and ( b ) 1/12th of project annual insurance premium ( the forego insurance reserve requirement be waive so long as insurance be maintain under a blanket policy ) for the purpose of reserve amount in respect of tax and insurance premium during the continuance of a trigger period or an event of default ; ( ii ) to the lender , the amount of all schedule or delinquent interest and principal on the mortgage loan and all other amount then due and payable under the loan documents ( with amount in respect of principal pay last ) ; ( iii ) provide no enforcement action have occur and be continue , after the occurrence and during the continuance of an event of default , to operating accounts , an amount equal to the budgeted operating expenses for the month in which such loan payment date occur , provide that ( a ) the amount disburse to such account pursuant to this clause ( iii ) will be use by borrower solely to pay budgeted operating expenses for such month , ( b ) no amount will be disburse to borrower in respect of the fee of any manager of the property to the extent such fee exceed 2 % of the gross income from operation at the property , ( c)(1 ) no remittance will be make to pay any affiliate of the borrower or the sponsor pursuant to any contract or agreement from and after such time as the lender request that the same be terminate ( exclude ( a ) amount accrue prior to such termination notice and ( b ) reimbursement for amount appropriately pay by such affiliate to non - affiliate ) , ( 2 ) the lender may elect , in -PRON- sole discretion , to make direct remittance to party that be owe amount in accordance with the approve annual budget rather than remit such amount to operate accounts ( which may include the borrower if the borrower be then self - manage the property and the lender have not elect to terminate the borrower in such role ) and ( 3 ) to the extent that the lender elect to remit amount to the operating accounts , the remittance will be condition on the lender ’s receipt of a monthly certification confirm that all amount previously remit into the operating accounts during the continuance of such event of default either remain in the operating accounts or have be apply toward specify budgeted operating expenses , and ( d ) during the continuance of an event of default , the lender receive a perfect , first - priority security interest in the operating account into which such amount will be fund ; ( iv ) to a designate reserve account ( the "" capital expenditure reserve account "" ) , an amount equal to an amount equal to the less of ( i ) 1/12th of $ 0.15 per leasable square foot at the property ( i.e. , $ 9,018 ) or ( ii ) the amount that would because the total amount contain in the capital expenditure reserve account to equal 12 time the monthly require amount ( i.e. , $ 108,216 ) for the purpose of reserve amount in respect of capital expenditure during the continuance of a trigger period or an event of default ; ( v ) to a designate reserve account ( the "" ti / lc reserve account "" ) , an amount equal to an amount equal to the less of ( i ) 1/12th of $ 1.00 per leasable square foot at the property ( i.e. , $ 60,120 ) or ( ii ) the amount that would because the total amount contain in the ti / lc reserve account to equal 12 time the monthly require amount ( i.e. , $ 721,438 ) for the purpose of reserve amount in respect of tenant improvement and leasing commission during the continuance of a trigger period or an event of default ; ( vi ) to the lender , the amount of any other amount then due and payable to the lender under the loan documents ; ( vii ) during the continuance of an event of default , all remain amount shall be retain by the lender to be to be hold as additional collateral for the mortgage loan and , upon acceleration of the mortgage loan , such amount may be apply in -PRON- discretion ; and ( viii ) if no event of default be continue , all remain amount to an account specify by the borrower .",on each loan payment date during the continuance of a trigger period or an event of default the lender be require to transfer amount from the cash management account to the extent available to make the follow payment in the follow order of priority i to a designate reserve account the tax and insurance reserve account an amount equal to the sum of a 1 12th of project annual real estate tax and b 1 12th of project annual insurance premium the forego insurance reserve requirement be waive so long as insurance be maintain under a blanket policy for the purpose of reserve amount in respect of tax and insurance premium during the continuance of a trigger period or an event of default ii to the lender the amount of all schedule or delinquent interest and principal on the mortgage loan and all other amount then due and payable under the loan documents with amount in respect of principal pay last iii provide no enforcement action have occur and be continue after the occurrence and during the continuance of an event of default to operating accounts an amount equal to the budgeted operating expenses for the month in which such loan payment date occur provide that a the amount disburse to such account pursuant to this clause iii will be use by borrower solely to pay budgeted operating expenses for such month b no amount will be disburse to borrower in respect of the fee of any manager of the property to the extent such fee exceed 2 of the gross income from operation at the property c 1 no remittance will be make to pay any affiliate of the borrower or the sponsor pursuant to any contract or agreement from and after such time as the lender request that the same be terminate exclude a amount accrue prior to such termination notice and b reimbursement for amount appropriately pay by such affiliate to non affiliate 2 the lender may elect in PRON sole discretion to make direct remittance to party that be owe amount in accordance with the approve annual budget rather than remit such amount to operate accounts which may include the borrower if the borrower be then self manage the property and the lender have not elect to terminate the borrower in such role and 3 to the extent that the lender elect to remit amount to the operating accounts the remittance will be condition on the lender s receipt of a monthly certification confirm that all amount previously remit into the operating accounts during the continuance of such event of default either remain in the operating accounts or have be apply toward specify budgeted operating expenses and d during the continuance of an event of default the lender receive a perfect first priority security interest in the operating account into which such amount will be fund iv to a designate reserve account the capital expenditure reserve account an amount equal to an amount equal to the less of i 1 12th of 0 15 per leasable square foot at the property i e 9 018 or ii the amount that would because the total amount contain in the capital expenditure reserve account to equal 12 time the monthly require amount i e 108 216 for the purpose of reserve amount in respect of capital expenditure during the continuance of a trigger period or an event of default v to a designate reserve account the ti lc reserve account an amount equal to an amount equal to the less of i 1 12th of 1 00 per leasable square foot at the property i e 60 120 or ii the amount that would because the total amount contain in the ti lc reserve account to equal 12 time the monthly require amount i e 721 438 for the purpose of reserve amount in respect of tenant improvement and leasing commission during the continuance of a trigger period or an event of default vi to the lender the amount of any other amount then due and payable to the lender under the loan documents vii during the continuance of an event of default all remain amount shall be retain by the lender to be to be hold as additional collateral for the mortgage loan and upon acceleration of the mortgage loan such amount may be apply in PRON discretion and viii if no event of default be continue all remain amount to an account specify by the borrower 
