0,Sentence,Trigger,Multiclass
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"On each Business Day, the financial institution maintaining the blocked account (which was U.S. Bank National Association as of the Origination Date) is required to remit all funds on deposit in the blocked account (a) if no Trigger Period or event of default under the Mortgage Loan is continuing, to the Borrower and (b) during a Trigger Period or while an event of default under the Mortgage Loan is continuing, to the Cash Management Account.",Loan Default,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"The Borrower has established and is required to maintain a cash management account (the “Cash Management Account”) at the Cash Management Bank into which income from the Property (other than certain de minimis non-core and sponsorship income) is required to be deposited during any period that the aggregate debt service coverage ratio (based on net operating income, as calculated under the Loan Documents) for the trailing 12-month period as of the most recent fiscal quarter and annualized debt service (including any scheduled amortization), falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio exceeds 1.30x as of the end of the trailing 12-month period for two consecutive fiscal quarters (such period a “Trigger Period”), or while an event of default under the Mortgage Loan is continuing. ",Aggregate DSCR Fall,1
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"The Borrower has established and is required to maintain a cash management account (the “Cash Management Account”) at the Cash Management Bank into which income from the Property (other than certain de minimis non-core and sponsorship income) is required to be deposited during any period that the aggregate debt service coverage ratio (based on net operating income, as calculated under the Loan Documents) for the trailing 12-month period as of the most recent fiscal quarter and annualized debt service (including any scheduled amortization), falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio exceeds 1.30x as of the end of the trailing 12-month period for two consecutive fiscal quarters (such period a “Trigger Period”), or while an event of default under the Mortgage Loan is continuing. ",Loan Default,1
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"During a Trigger Period or while an event of default under the Mortgage Loan is continuing, all amounts available in the Cash Management Account will be applied on each Loan Payment Date in the following order of priority: (i) to the Tax and Insurance Reserve Account, (a) 1/12th of projected annual taxes and (b) 1/12th of projected annual insurance premiums (unless certain blanket policies are in effect), (ii) to the lender, the amount of all scheduled or delinquent interest and principal on the Mortgage Loan and all other amounts then due and payable under the Loan Documents (with amounts in respect of principal paid last), (iii) provided there has been no enforcement action, after the occurrence and during the continuance of an event of default under the Mortgage Loan, to operating accounts, an amount equal to the budgeted operating expenses for the month in which such Loan Payment Date occurs (as described in “Description of the Mortgage Loan—Cash Management”); (iv) to the Capital Expenditure Reserve Account,􀀃an amount equal to the lesser of (a) $9,018 (which is $0.15 per owned rentable square foot per annum) or (b) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal $108,216 (which is 12 times the monthly required amount set forth in clause (a)), (v) to the TI/LC Reserve Account an amount equal to the lesser of (a) $60,120 (which is $1.00 per owned rentable square foot per annum) or (b) the amount that would cause the total amount contained in the Capital Expenditure Reserve Account to equal $721,438 (which is 12 times the monthly required amount set forth in clause (a)), and (vi) unless an event of default under the Loan Documents is continuing, all remaining amounts to the Borrower.",Loan Default,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,On any Business Day all amounts on deposit in the Cash Management Account in excess of the amount of required reserves and all other amounts due and payable on the next Loan Payment Date will be released to the Borrower unless an event of default under the Mortgage Loan has occurred and is continuing.,Loan Default,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"Available funds in each Cash Management Account are required to be swept into either the Operating Accounts, or upon the commencement of a Trigger Period or Event of Default, the Cash Management Account at the end of each Business Day.",Loan Default,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"So long as no Trigger Period or Event of Default is continuing, at the end of each Business Day, all amounts contained in the Lockbox Account will be required to be disbursed to the Borrower’s designated operating account or as Borrower otherwise directs.",Loan Default,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"During the continuance of a Trigger Period or Event of Default, at the end of each Business Day, all amounts contained in the Lockbox Account will be required to be transferred to the Cash Management Account.",Loan Default,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"“Trigger Period” means any period that the debt service coverage ratio (based on net operating income for the trailing 12-month period (less tenant improvement and leasing commission expenditures equal to $1.00 per square foot per annum and capital improvements equal to $0.20 per square foot per annum) and debt service on the Mortgage Loan), falls below 1.30x as of the end of any fiscal quarter until such debt service coverage ratio is at least 1.30x as of the end of a subsequent fiscal quarter.",DSCR Fall,0
20120828_01Y0R8_Prospectus_CM000000002058750876.pdf,"During the continuance of a Trigger Period, the Cash Management Bank will remit to the Borrower, at the end of each Business Day (or, at the election of the Borrower, on a less frequent basis), the amount, if any, by which amounts then contained in the Cash Management Account exceed the aggregate amount required to be paid to or reserved with the lender on the next Loan Payment Date pursuant to the Mortgage Loan Agreement (the “Minimum Balance”); provided, however, that the lender will terminate such remittances during the continuance of an Event of Default upon notice to the Cash Management Bank with a copy to the Borrower.",Loan Default,0
